tenure_months,monthly_charges,contract_type,internet_service,support_tickets_6m,payment_method,churn
8,53.74678531538184,One year,None,9,Bank transfer,1
1,40.342626197227744,Month-to-month,Fiber optic,1,Bank transfer,0
33,58.13185198875772,One year,Fiber optic,2,Electronic check,1
53,80.25383298600634,Two year,Fiber optic,2,Credit card,1
45,75.17774935090227,One year,DSL,4,Mailed check,1
64,45.3485080072524,Two year,Fiber optic,0,Mailed check,1
12,69.66380632254585,One year,DSL,1,Mailed check,0
53,85.68037805830669,Two year,DSL,1,Bank transfer,0
7,65.2292845172835,Month-to-month,Fiber optic,0,Credit card,0
50,43.82159451989072,Month-to-month,DSL,0,Credit card,0
11,79.52876080845212,One year,Fiber optic,0,Credit card,0
50,95.59260997846197,Month-to-month,None,4,Bank transfer,0
62,20.639526134294858,Month-to-month,Fiber optic,0,Credit card,0
59,61.76918228069428,Month-to-month,DSL,8,Mailed check,1
13,24.305294468744673,Month-to-month,DSL,1,Bank transfer,0
2,67.53911757600767,Two year,DSL,1,Credit card,0
20,33.4705815377436,Month-to-month,DSL,2,Bank transfer,0
22,,Month-to-month,DSL,1,Bank transfer,0
63,68.87529679105918,One year,DSL,3,Credit card,1
58,41.213993539678846,Month-to-month,DSL,0,Credit card,1
3,37.116244598929335,Month-to-month,None,0,Electronic check,0
67,95.18755738813026,Month-to-month,Fiber optic,1,Mailed check,0
42,64.83703185224999,Month-to-month,Fiber optic,1,Mailed check,0
11,81.36103965720257,Two year,None,1,Bank transfer,1
47,22.2407424498246,Month-to-month,DSL,2,Electronic check,0
69,88.36779149475768,Month-to-month,DSL,0,Mailed check,0
48,38.175296587949816,One year,Fiber optic,0,Mailed check,1
51,45.839043591133205,Month-to-month,DSL,0,Bank transfer,1
65,27.899789010846742,Month-to-month,DSL,2,Credit card,1
51,19.887542572467165,One year,Fiber optic,0,Electronic check,0
9,43.09676085769531,Month-to-month,Fiber optic,1,Credit card,1
28,61.42713479593132,Month-to-month,None,5,Electronic check,0
42,51.17818418170344,Month-to-month,Fiber optic,0,Bank transfer,0
32,31.11932662179041,One year,Fiber optic,0,Credit card,0
6,70.99428762092408,Two year,DSL,2,Electronic check,0
71,39.349648117442754,One year,Fiber optic,2,Bank transfer,1
28,29.039976052556966,Month-to-month,DSL,2,Credit card,0
31,,One year,DSL,9,Mailed check,0
12,124.21351427902277,Two year,None,1,Mailed check,0
13,99.51108876850235,Month-to-month,Fiber optic,1,Mailed check,0
16,99.9115212863457,Month-to-month,Fiber optic,3,Credit card,0
59,53.21610419731505,One year,Fiber optic,2,Electronic check,1
23,61.06071526530206,Month-to-month,None,0,Credit card,0
10,68.74751367169137,Month-to-month,Fiber optic,0,Electronic check,0
11,48.09914563168502,Two year,None,9,Bank transfer,1
18,54.08049545370133,Two year,DSL,3,Credit card,0
29,36.343195141575976,Month-to-month,Fiber optic,1,Credit card,0
64,73.8361458002713,Month-to-month,Fiber optic,1,Electronic check,1
51,48.35743754360855,Two year,None,3,Bank transfer,0
35,102.99508426615935,One year,DSL,3,Mailed check,0
47,55.45262768272825,Month-to-month,Fiber optic,10,Bank transfer,0
20,12.70445478632729,Month-to-month,Fiber optic,2,Mailed check,1
14,49.44540475133666,Month-to-month,DSL,2,Credit card,0
5,68.13654786048555,Month-to-month,Fiber optic,3,Electronic check,0
52,60.95218585061576,One year,Fiber optic,2,Mailed check,0
62,80.2070031580725,Month-to-month,Fiber optic,0,Mailed check,1
60,32.648983601541296,Month-to-month,DSL,3,Mailed check,0
68,42.04109202748257,Month-to-month,None,1,Mailed check,0
42,64.12169086639767,Two year,None,1,Electronic check,0
71,,One year,Fiber optic,2,Bank transfer,1
58,48.061714527571525,Two year,Fiber optic,0,Mailed check,1
4,62.07818693577273,Month-to-month,Fiber optic,2,Electronic check,0
25,55.01859315482663,Two year,DSL,0,Credit card,0
18,54.50969067291721,Month-to-month,DSL,1,Bank transfer,0
6,108.48270660530345,One year,None,2,Bank transfer,1
13,114.06076969582595,Two year,DSL,0,Mailed check,0
52,92.8381783285008,Month-to-month,DSL,1,Bank transfer,0
27,72.10292732783063,Month-to-month,Fiber optic,1,Mailed check,0
69,111.07854649208639,One year,Fiber optic,2,Mailed check,0
24,39.266821759981546,One year,DSL,1,Electronic check,1
26,70.6922626473197,One year,DSL,2,Credit card,1
18,79.16385211044151,Month-to-month,DSL,1,Bank transfer,0
7,64.47362396365804,Month-to-month,Fiber optic,1,Bank transfer,0
27,98.98708042603414,Two year,DSL,0,Credit card,1
50,20.06998489325589,Month-to-month,None,0,Electronic check,0
34,53.97152455273288,One year,DSL,3,Mailed check,0
23,109.20345281061084,Month-to-month,Fiber optic,0,Electronic check,0
40,99.69112749867585,Month-to-month,Fiber optic,0,Electronic check,1
29,30.81786475685121,Month-to-month,Fiber optic,3,Bank transfer,1
24,62.892692939432955,Two year,Fiber optic,4,Mailed check,0
10,60.25066978173152,One year,DSL,2,Credit card,0
66,,One year,None,1,Mailed check,1
49,116.71242706910262,Month-to-month,DSL,1,Electronic check,1
8,,Month-to-month,DSL,1,Mailed check,0
25,60.626977872937,One year,DSL,1,Bank transfer,1
30,76.48169973715835,Month-to-month,DSL,3,Credit card,1
34,68.3067102116905,One year,DSL,1,Mailed check,0
64,11.910483705402122,Two year,DSL,0,Electronic check,1
59,73.13637801405127,One year,DSL,2,Mailed check,0
3,53.08348400534524,Month-to-month,Fiber optic,2,Electronic check,1
25,77.92760527860355,One year,Fiber optic,1,Electronic check,0
10,32.49282807105399,Month-to-month,None,3,Electronic check,1
43,48.78414898000193,One year,Fiber optic,4,Bank transfer,0
59,68.82684435152647,One year,DSL,1,Electronic check,0
38,26.009912277370287,Month-to-month,DSL,3,Electronic check,0
8,14.250351791038167,Month-to-month,DSL,0,Mailed check,0
25,,Two year,Fiber optic,1,Bank transfer,0
7,39.988120915816914,Two year,Fiber optic,1,Electronic check,1
15,136.43843369241873,Month-to-month,Fiber optic,1,Mailed check,0
37,113.65181138047392,Month-to-month,None,0,Credit card,0
20,35.854660680971165,Month-to-month,None,3,Electronic check,0
7,40.00252007971604,One year,Fiber optic,1,Bank transfer,0
25,84.86962348623999,Two year,DSL,2,Credit card,0
23,70.06309075129282,Month-to-month,Fiber optic,1,Credit card,0
26,,One year,Fiber optic,1,Bank transfer,1
66,61.80965563882515,Month-to-month,DSL,1,Credit card,0
18,18.06538268298494,Two year,DSL,0,Mailed check,0
22,32.75082594833152,Month-to-month,None,0,Mailed check,1
58,51.613548666942776,One year,DSL,0,Credit card,0
48,54.475288182618044,Month-to-month,None,0,Mailed check,0
44,54.05148615373651,Month-to-month,DSL,0,Bank transfer,0
57,125.85034097677277,Month-to-month,DSL,3,Mailed check,1
47,64.78675147652949,Month-to-month,Fiber optic,1,Mailed check,0
19,36.347158419516205,Month-to-month,DSL,1,Credit card,1
3,28.104792325279412,Month-to-month,DSL,2,Electronic check,0
13,94.78722123992634,Month-to-month,DSL,1,Credit card,1
37,61.33761584096101,One year,Fiber optic,0,Mailed check,1
67,7.851838764037639,One year,DSL,0,Mailed check,0
50,,Month-to-month,Fiber optic,0,Credit card,1
39,55.80399144717943,Month-to-month,DSL,3,Credit card,1
63,128.56863274926303,One year,DSL,2,Electronic check,0
47,62.16256696008366,One year,Fiber optic,2,Mailed check,0
12,,One year,DSL,1,Mailed check,1
1,71.18034142281078,Two year,Fiber optic,3,Bank transfer,0
59,16.73279597037851,Month-to-month,None,1,Electronic check,0
25,51.317858774932205,Month-to-month,Fiber optic,3,Credit card,0
71,33.60064157853816,Month-to-month,Fiber optic,3,Mailed check,0
16,58.32449935242039,Month-to-month,None,1,Bank transfer,0
34,49.87569842126843,Month-to-month,Fiber optic,0,Mailed check,1
22,59.21788001770584,Two year,None,0,Electronic check,0
69,44.086957287475755,Month-to-month,DSL,0,Credit card,1
18,28.903645813520637,Month-to-month,DSL,0,Credit card,0
69,104.88393560772866,Month-to-month,DSL,1,Electronic check,0
48,41.134764393904376,One year,Fiber optic,2,Bank transfer,0
61,20.31340284074745,Month-to-month,DSL,0,Electronic check,1
38,58.79428667174538,Month-to-month,DSL,0,Bank transfer,0
48,66.62162334899446,Month-to-month,Fiber optic,3,Bank transfer,0
19,49.39713367147539,Month-to-month,DSL,1,Electronic check,1
56,77.05815776579422,Month-to-month,DSL,2,Electronic check,0
35,26.19056531019115,Two year,Fiber optic,2,Bank transfer,0
55,41.26935009084283,Month-to-month,Fiber optic,1,Credit card,1
7,62.795183077997045,Month-to-month,Fiber optic,0,Mailed check,0
17,86.58859683722642,Month-to-month,Fiber optic,1,Bank transfer,1
41,50.378496575781966,Month-to-month,Fiber optic,1,Bank transfer,1
53,43.92277341040384,Two year,DSL,1,Electronic check,0
45,21.159195245187803,One year,Fiber optic,3,Bank transfer,0
53,55.04708762923436,Month-to-month,DSL,1,Credit card,0
32,,Two year,DSL,1,Credit card,1
63,35.42226419681474,Month-to-month,Fiber optic,1,Electronic check,0
49,74.82034675981019,One year,None,1,Mailed check,0
29,46.141605360982425,Month-to-month,Fiber optic,2,Electronic check,1
57,38.73003866136451,Two year,None,1,Electronic check,0
31,19.108399231612083,Two year,DSL,3,Mailed check,1
44,52.3280931500668,Month-to-month,DSL,2,Bank transfer,0
37,28.757269971576093,One year,Fiber optic,10,Bank transfer,0
22,68.95064721208762,Month-to-month,DSL,3,Mailed check,0
7,85.231817897003,Month-to-month,None,1,Mailed check,0
12,67.54159627744355,One year,Fiber optic,0,Credit card,1
43,166.35008659033707,Month-to-month,Fiber optic,2,Mailed check,0
12,46.25997304096437,One year,DSL,3,Credit card,0
39,34.55108959413754,Month-to-month,DSL,0,Mailed check,0
37,87.63634857575232,One year,None,4,Credit card,0
30,33.48282841127078,Two year,DSL,1,Credit card,0
7,53.7390596838068,Two year,DSL,1,Electronic check,0
63,20.407867646716344,Month-to-month,Fiber optic,0,Electronic check,1
28,162.66745961521977,One year,Fiber optic,1,Bank transfer,0
65,35.96172153610868,Month-to-month,DSL,0,Bank transfer,1
45,29.633823058099633,One year,Fiber optic,1,Credit card,0
11,,Two year,DSL,2,Mailed check,1
10,49.848304055699415,Two year,Fiber optic,3,Bank transfer,0
51,112.83459556584828,One year,Fiber optic,2,Mailed check,0
32,80.1148889988075,Month-to-month,DSL,1,Credit card,0
2,38.88239066334028,One year,None,2,Bank transfer,0
30,48.51315612799509,Month-to-month,None,0,Mailed check,1
39,12.881971513933424,Month-to-month,Fiber optic,1,Mailed check,0
55,87.83658645788539,Two year,None,0,Credit card,0
17,101.73260839241472,Two year,Fiber optic,0,Credit card,1
14,43.31011750086427,Two year,Fiber optic,1,Credit card,0
60,,Month-to-month,DSL,4,Credit card,0
65,27.40862731043461,Month-to-month,DSL,0,Bank transfer,0
9,,Month-to-month,Fiber optic,0,Credit card,1
0,87.84259221244632,Month-to-month,Fiber optic,1,Credit card,0
26,84.86456220865784,Month-to-month,Fiber optic,0,Credit card,0
0,66.19606345142023,Month-to-month,DSL,0,Credit card,1
32,120.59398408700686,Month-to-month,Fiber optic,0,Bank transfer,0
47,28.474922138641592,One year,DSL,1,Bank transfer,0
4,58.33981119234068,One year,Fiber optic,2,Credit card,0
25,40.87359719804908,One year,Fiber optic,2,Bank transfer,0
6,102.33200271863646,Month-to-month,None,3,Bank transfer,0
16,53.83418355606031,Month-to-month,Fiber optic,0,Credit card,0
55,19.902782738665568,Month-to-month,Fiber optic,3,Bank transfer,0
20,53.84175867331837,Month-to-month,DSL,1,Mailed check,0
37,90.04491588012266,Two year,DSL,9,Bank transfer,0
54,53.519311432657425,Month-to-month,DSL,0,Mailed check,0
24,68.92707235558086,Two year,None,2,Bank transfer,0
22,40.762874809182904,Month-to-month,Fiber optic,3,Credit card,0
7,43.42922209071048,Two year,DSL,3,Electronic check,0
4,81.138051661438,Month-to-month,DSL,0,Bank transfer,0
29,37.13721538214199,Month-to-month,None,2,Credit card,0
19,46.936424445127365,Month-to-month,Fiber optic,1,Credit card,0
50,41.01465748040303,One year,DSL,1,Mailed check,1
37,59.49381771533135,Month-to-month,DSL,0,Bank transfer,0
20,29.08688676666819,Month-to-month,Fiber optic,0,Credit card,0
7,90.96004852757757,One year,Fiber optic,2,Mailed check,0
67,25.94648640898061,Two year,DSL,1,Bank transfer,1
59,22.306206106964318,Month-to-month,Fiber optic,3,Credit card,0
34,92.54648922342061,Two year,Fiber optic,1,Mailed check,0
1,27.849326178167367,One year,None,1,Electronic check,1
61,121.30504934051959,Month-to-month,DSL,4,Electronic check,0
30,37.16165856648676,Month-to-month,None,2,Credit card,0
17,45.17189871127248,Month-to-month,DSL,1,Bank transfer,0
33,79.47280170931117,One year,DSL,1,Credit card,0
71,22.16618384359878,Month-to-month,None,1,Bank transfer,1
58,64.39972539968444,One year,DSL,0,Credit card,0
21,79.82488875116117,Month-to-month,DSL,3,Credit card,0
5,49.64490928789841,One year,DSL,0,Electronic check,1
15,38.22856457873618,One year,Fiber optic,2,Mailed check,0
15,32.40635475368021,Month-to-month,Fiber optic,1,Bank transfer,0
7,55.48346260404398,Month-to-month,Fiber optic,1,Electronic check,1
26,,One year,DSL,2,Electronic check,0
69,70.68958813099206,Two year,Fiber optic,0,Electronic check,0
16,61.978611130605756,Month-to-month,DSL,9,Electronic check,0
64,88.19476195980194,One year,DSL,1,Credit card,1
61,69.27446183105123,One year,DSL,1,Mailed check,0
32,88.18072647132018,Month-to-month,Fiber optic,0,Electronic check,1
32,178.29428103621999,One year,Fiber optic,1,Mailed check,1
27,49.05553933239265,Two year,Fiber optic,0,Credit card,0
11,81.92278168043319,Two year,Fiber optic,2,Credit card,0
4,21.293577354435172,One year,Fiber optic,1,Mailed check,0
45,65.87249536014541,Month-to-month,None,3,Electronic check,0
6,39.69618638473649,Month-to-month,DSL,0,Electronic check,0
48,92.01364789482844,One year,DSL,1,Credit card,0
15,58.750824313550446,Month-to-month,Fiber optic,3,Bank transfer,0
36,,Month-to-month,None,1,Credit card,0
65,103.180231101894,Month-to-month,DSL,3,Electronic check,0
67,72.6319533926046,Two year,Fiber optic,1,Bank transfer,1
57,71.54861517468346,Month-to-month,Fiber optic,2,Credit card,0
54,96.89376707364667,Two year,Fiber optic,1,Bank transfer,0
4,42.29034439977957,Month-to-month,Fiber optic,2,Credit card,0
10,95.22147797039638,One year,Fiber optic,0,Electronic check,0
27,57.76644343404674,One year,DSL,2,Electronic check,0
60,54.973148678297946,Two year,DSL,4,Bank transfer,0
71,62.46297194503348,Two year,DSL,1,Bank transfer,0
44,53.917465388404466,One year,Fiber optic,0,Electronic check,0
25,71.26195277781612,Two year,DSL,1,Electronic check,1
61,124.65961882665727,One year,DSL,2,Electronic check,1
15,62.888039122064626,Month-to-month,None,1,Bank transfer,0
40,102.16855024730424,Month-to-month,DSL,1,Bank transfer,0
15,28.76466282823263,Month-to-month,None,1,Electronic check,0
33,51.48527632275149,Two year,None,0,Mailed check,1
24,69.26339300657331,Month-to-month,None,3,Electronic check,0
7,53.011277146130524,Month-to-month,None,1,Bank transfer,0
68,23.152758730511152,Month-to-month,DSL,1,Electronic check,0
8,71.62188565422443,Month-to-month,DSL,1,Credit card,1
32,103.27494720170812,One year,Fiber optic,2,Credit card,0
31,85.88591309421844,Two year,Fiber optic,1,Credit card,1
59,46.41635303231435,Two year,DSL,0,Mailed check,0
18,82.98804854569492,Month-to-month,None,1,Bank transfer,0
58,28.64093028555258,Month-to-month,Fiber optic,0,Credit card,0
3,22.173549374247486,Month-to-month,DSL,2,Electronic check,1
31,58.59158285386656,Month-to-month,DSL,0,Electronic check,0
67,33.005792992264006,Month-to-month,Fiber optic,0,Electronic check,1
0,101.4160966767,Month-to-month,DSL,2,Mailed check,1
67,85.43641547291661,Month-to-month,DSL,9,Mailed check,0
33,,Month-to-month,Fiber optic,0,Credit card,0
15,89.43572205278589,Month-to-month,DSL,1,Electronic check,1
22,66.88103635229187,Month-to-month,Fiber optic,0,Mailed check,0
42,79.83786714689886,Month-to-month,DSL,0,Credit card,0
31,19.420626617649265,Two year,Fiber optic,1,Mailed check,0
57,76.57203427868922,Month-to-month,None,1,Electronic check,0
34,80.29950914720857,Month-to-month,Fiber optic,1,Electronic check,0
29,21.705329870726285,Two year,DSL,8,Credit card,0
61,54.76081991044706,Month-to-month,None,0,Bank transfer,0
49,54.97167820792649,Two year,Fiber optic,1,Credit card,0
26,57.049340675417575,One year,DSL,3,Credit card,0
35,69.54129559341176,Two year,Fiber optic,2,Credit card,0
47,57.922444469199334,One year,Fiber optic,0,Mailed check,1
63,118.02517576074361,Month-to-month,Fiber optic,2,Credit card,1
20,17.302880594955823,Two year,DSL,0,Electronic check,0
66,21.080799098238888,Month-to-month,Fiber optic,4,Electronic check,0
48,142.91547166316406,Two year,DSL,0,Mailed check,0
34,49.87476317348276,Two year,Fiber optic,4,Electronic check,0
59,23.059443499306997,One year,Fiber optic,0,Credit card,0
3,59.5823529013761,Month-to-month,None,0,Credit card,0
31,75.39894651464328,Month-to-month,DSL,2,Credit card,0
24,95.59189518172727,Two year,DSL,2,Electronic check,0
3,33.13472716758171,Month-to-month,None,2,Bank transfer,0
18,84.17614034359019,One year,Fiber optic,1,Bank transfer,0
67,90.82658543373427,Two year,Fiber optic,1,Credit card,1
11,23.24387143521854,One year,Fiber optic,2,Electronic check,1
54,54.62656419827916,Month-to-month,DSL,2,Bank transfer,1
6,59.71392196364494,Month-to-month,DSL,2,Mailed check,1
11,,Month-to-month,Fiber optic,1,Credit card,0
66,76.65842411370926,Month-to-month,Fiber optic,1,Credit card,0
29,45.9353366707987,Month-to-month,DSL,0,Credit card,1
47,56.134482752673506,One year,Fiber optic,1,Credit card,1
56,,Month-to-month,DSL,3,Credit card,0
30,89.27430691205211,Month-to-month,None,0,Credit card,1
57,58.40527106452222,Month-to-month,DSL,1,Bank transfer,1
0,57.880495399531135,Month-to-month,None,1,Mailed check,0
45,65.9387952386779,Month-to-month,Fiber optic,0,Mailed check,0
45,53.70779476822316,One year,DSL,9,Credit card,0
66,152.2710826656129,Two year,DSL,0,Electronic check,1
36,41.01494556039872,Month-to-month,Fiber optic,1,Mailed check,0
20,69.00092826786344,One year,DSL,1,Electronic check,0
11,175.6153505161265,One year,Fiber optic,9,Electronic check,0
16,59.63822064567212,Month-to-month,Fiber optic,1,Electronic check,0
23,79.68957249191932,Month-to-month,Fiber optic,1,Credit card,0
39,38.21118992016927,Month-to-month,Fiber optic,0,Mailed check,0
57,57.05370047177431,One year,Fiber optic,10,Credit card,0
16,35.38817286467128,Two year,None,2,Credit card,0
35,151.3365425206156,One year,Fiber optic,3,Bank transfer,0
51,26.48221246343009,Month-to-month,Fiber optic,1,Credit card,0
31,48.13962783213627,Month-to-month,DSL,2,Bank transfer,0
52,130.38160235842034,Month-to-month,DSL,1,Mailed check,0
34,90.23138530683192,Two year,DSL,1,Electronic check,0
9,,Month-to-month,None,1,Electronic check,0
0,65.02814251398026,Two year,Fiber optic,0,Bank transfer,1
11,95.69235441481182,One year,DSL,1,Bank transfer,0
9,93.45780313686264,Two year,Fiber optic,3,Electronic check,1
54,39.32846642716297,Month-to-month,Fiber optic,0,Bank transfer,0
14,94.41383924567356,One year,DSL,4,Credit card,0
9,32.123748313343555,Two year,Fiber optic,1,Mailed check,0
61,71.01296100587402,Month-to-month,DSL,2,Bank transfer,1
62,82.5870472959081,Month-to-month,DSL,9,Credit card,0
9,90.84736803469276,One year,Fiber optic,2,Electronic check,1
30,25.445898647948972,Month-to-month,Fiber optic,0,Credit card,1
39,39.18933767334867,Month-to-month,Fiber optic,4,Electronic check,0
35,34.80980258878987,Two year,DSL,2,Mailed check,0
70,76.14139924386386,Two year,Fiber optic,1,Electronic check,1
9,88.2615389978248,One year,Fiber optic,0,Credit card,0
18,30.53413195845896,Month-to-month,DSL,4,Credit card,1
59,35.35654873646818,One year,Fiber optic,1,Electronic check,0
65,58.534317613457524,Month-to-month,None,0,Mailed check,1
28,25.679056552909607,One year,None,2,Bank transfer,0
9,59.73613412151659,Two year,Fiber optic,9,Electronic check,0
32,35.00813177554224,Month-to-month,None,1,Bank transfer,0
14,48.74988395987586,One year,Fiber optic,0,Credit card,0
63,75.70244126080368,Month-to-month,DSL,0,Bank transfer,0
50,106.83845079036038,Month-to-month,DSL,1,Credit card,0
50,68.27777259494053,Two year,Fiber optic,1,Credit card,0
45,94.81713443696194,Two year,DSL,4,Bank transfer,1
46,44.36556973702564,One year,DSL,3,Credit card,0
21,37.96757508482739,Month-to-month,Fiber optic,0,Electronic check,0
33,49.65300931670578,One year,None,0,Bank transfer,0
53,65.06448956452523,One year,DSL,3,Electronic check,0
43,87.28919585022183,One year,DSL,1,Credit card,0
64,43.59966717668406,Two year,Fiber optic,0,Bank transfer,0
30,59.61995305177405,Month-to-month,DSL,0,Credit card,0
46,105.1963782324021,Month-to-month,DSL,0,Credit card,0
28,14.114070856692736,One year,Fiber optic,9,Bank transfer,0
24,44.592008159612995,Two year,Fiber optic,1,Bank transfer,0
59,88.73235972885257,Month-to-month,DSL,0,Electronic check,0
58,48.800974156548826,Month-to-month,DSL,2,Mailed check,0
51,35.4206910120787,Two year,DSL,2,Electronic check,0
26,86.90755562636346,Month-to-month,DSL,1,Electronic check,0
4,40.406954070122715,Month-to-month,Fiber optic,1,Electronic check,1
44,27.57425431641907,One year,Fiber optic,1,Electronic check,0
23,52.487350221080504,Month-to-month,DSL,0,Mailed check,0
16,68.15790879701845,Month-to-month,Fiber optic,0,Electronic check,0
56,178.25436039577664,One year,DSL,2,Electronic check,0
59,49.97172894895068,One year,DSL,3,Credit card,0
65,40.48970773937734,Month-to-month,None,0,Mailed check,0
0,21.304554796755337,One year,Fiber optic,2,Mailed check,0
56,43.20507083761803,Two year,Fiber optic,1,Credit card,1
66,29.61978772457967,Month-to-month,Fiber optic,2,Credit card,0
28,63.14430497308876,Month-to-month,DSL,2,Mailed check,0
26,15.634058264202599,Month-to-month,Fiber optic,1,Mailed check,0
32,70.01805068409683,Month-to-month,DSL,0,Credit card,0
32,57.602223917461316,Month-to-month,None,0,Electronic check,0
39,96.25319500740262,Two year,None,1,Bank transfer,0
11,24.30498469706524,Month-to-month,Fiber optic,1,Mailed check,1
29,70.34866903886534,Two year,Fiber optic,1,Electronic check,0
10,,Two year,DSL,2,Electronic check,0
30,50.742473527452084,Two year,Fiber optic,0,Bank transfer,1
71,,One year,DSL,2,Credit card,0
11,81.47875682892756,Month-to-month,Fiber optic,0,Bank transfer,0
42,103.61029848417145,Month-to-month,Fiber optic,2,Credit card,0
52,99.93101734999468,Month-to-month,Fiber optic,1,Bank transfer,0
54,50.930760613444306,Month-to-month,DSL,1,Electronic check,0
64,71.75602842216394,Month-to-month,DSL,1,Mailed check,0
21,36.56323039664894,One year,DSL,2,Mailed check,0
42,29.368205251203104,Month-to-month,DSL,2,Bank transfer,0
34,44.40718859821128,Month-to-month,None,1,Bank transfer,0
33,,Month-to-month,DSL,2,Bank transfer,1
26,57.76685207265562,Month-to-month,DSL,1,Credit card,0
45,,Two year,DSL,2,Electronic check,0
9,25.742390016108654,One year,DSL,2,Electronic check,0
71,77.24743163303502,Month-to-month,Fiber optic,0,Bank transfer,0
68,47.70546688239063,One year,Fiber optic,2,Electronic check,0
24,74.16698622694086,One year,Fiber optic,0,Mailed check,1
70,47.79206860930989,One year,DSL,3,Mailed check,0
0,57.74526448502754,Month-to-month,DSL,2,Electronic check,0
47,72.13991484722074,One year,Fiber optic,1,Electronic check,0
21,,Month-to-month,DSL,2,Credit card,0
9,57.858435678539806,Two year,Fiber optic,2,Electronic check,0
26,58.34888379339079,Two year,Fiber optic,1,Credit card,0
5,86.32720856423411,Month-to-month,DSL,2,Mailed check,0
66,17.16468255048615,One year,Fiber optic,0,Bank transfer,0
3,,Month-to-month,Fiber optic,3,Electronic check,0
39,38.63013899326381,One year,DSL,9,Credit card,0
45,105.14779384088854,One year,Fiber optic,4,Mailed check,0
17,70.70485096480542,Month-to-month,Fiber optic,1,Bank transfer,1
9,47.08161364961869,Two year,Fiber optic,1,Mailed check,0
18,120.75919234990893,Month-to-month,Fiber optic,0,Electronic check,1
10,53.511434259372336,Month-to-month,None,2,Mailed check,1
67,129.16666756112002,One year,None,4,Bank transfer,0
21,48.97966170789661,Month-to-month,DSL,1,Electronic check,0
12,61.85910521428971,Two year,None,1,Credit card,0
61,42.210906561662775,One year,Fiber optic,2,Credit card,0
25,37.56663360107165,Two year,DSL,1,Bank transfer,0
34,39.13577624815004,One year,DSL,9,Credit card,0
13,24.722337836331683,Month-to-month,DSL,1,Bank transfer,0
7,92.0320462986712,Month-to-month,DSL,0,Electronic check,0
31,83.862316689752,One year,None,2,Bank transfer,1
62,31.842903536604265,Two year,DSL,1,Mailed check,0
